"CMCII_Institution","Sector","SERVICE","CII_Name","CII_Type","Description","Location","Dependencies (Upstream/Downstream Asset)","Ownership (Public, Private, Hybrid)","Custodian","Geolocation Parameters","Status (A/C/R)","Impact Users Affected (0-4)","Economic Impact (1-4)","Recovery Time (1-4)","Availability of Alternatives (1-4)","Cross-sector Dependencies (1-4)","Score","Tier"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","Shared Intelligence Stored on WAPIS","Data","Shared intelligence exchanged with INTERPOL and national agencies","WAPIS DACORE, JOC Building Bjilo","WAN, Internet, Storage","Public","GPF Facilities Management","Bijilo, The Gambia","Active","4","4","4","2","3","17","Tier-3"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","Biometric Data","Data","Fingerprints, facial recognition, and DNA records in WAPIS","WAPIS DACORE, JOC Building Bjilo","Application Server, Database","Public","GPF Facilities Management","Bijilo, The Gambia","Active","4","4","4","1","3","16","Tier-3"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","WAPIS Database and Application Server","Software Systems","Central WAPIS database & application platform hosting police information","WAPIS DACORE, JOC Building Bjilo, (linked to ECOWAS data center)","Internet, ECOWAS WAPIS central server, Power","Hybrid (ECOWAS + GPF)","GPF ICT Department","Bijilo, The Gambia","Active","4","4","4","1","3","16","Tier-3"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","Network & Connectivity","Networks and Communication","Secure LAN, WAN, VPN links to ECOWAS WAPIS","WAPIS DACORE, JOC Building Bjilo","ISP, Routers, Firewalls, ECOWAS Gateway","Public","GPF ICT Unit","Bijilo, The Gambia","Active","4","4","4","2","3","17","Tier-3"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","Case Files","Data","Digital records of criminal investigations stored in WAPIS","WAPIS DACORE, JOC Building Bjilo","Servers, Storage, Network","Public","GPF Facilities Management","Bijilo, The Gambia","Active","4","4","4","1","3","16","Tier-3"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","WAPIS Hardware & Terminals","Hardware and Computing Infrastructure","Terminals, workstations, servers, routers, backup devices","WAPIS DACORE, JOC Building Bjilo","Power, Cooling, ICT Infrastructure","Public","GPF ICT Unit","Bijilo, The Gambia","Active","4","4","4","2","3","17","Tier-3"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","Criminal Records Data","Data","Criminal records, biometrics, shared intelligence stored in WAPIS","WAPIS DACORE, JOC Building Bjilo","Database servers, Backup systems, Encryption protocols","Public","GPF","Bijilo, The Gambia","Active","4","4","4","1","3","16","Tier-3"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","WAPIS Human Resources","Human","Trained officers, system admins and investigators","WAPIS DACORE, JOC Building Bjilo","Training, Access Credentials, Tools","Public","GPF HR Department & WAPIS Focal Point","Bijilo, The Gambia","Active","4","4","4","2","3","17","Tier-3"
"Central Bank of The Gambia (CBG)","Banking and Finance","Currency issuance and management","Vault Management System","Software Systems","System used for recording, monitoring, and managing banknote and coin issuance, circulation, and destruction activities.","CBG Data Center, Head Office, Banjul","Upstream: Core Banking System, Network InfrastructureDownstream: Vault operations, accounting, reporting","Private","CMD, ICTD","FC3G+9Q, Banjul","Active","4","4","3","4","4","19","Tier-3"
"Central Bank of The Gambia (CBG)","Banking and Finance","Currency issuance and management","Currency Processing & Sorting Center","Facilities","Room for counting, verifying, and sorting banknotes","CBG","Upstream: Power supply, sorting machines, 
Downstream: Vault inventory updates, accounting records","Private","CMD","FC3G+9Q, Banjul","Active","4","4","2","2","3","15","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Data Center Collocation","Ifmis backup servers","Software Systems","These are the backup servers ","Kanifing GBOS","MDAs in kombo","AGD","AGD","F87F+RM9","Active","2","4","2","4","4","16","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Data Center Collocation","All MDAs in kombo site","Software Systems","This is where we have the redundant servers centered","Kanifing GBOS","MDAs in kombo","AGD","AGD","F87F+RM9","Candidate","2","2","4","4","4","16","Tier-3"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","Routers and Switches","Networks and Communication","Core network devices enabling WAPIS traffic flow","WAPIS DACORE, JOC Building Bjilo","LAN, WAN, Power","Public","GPF Facilities Management","Bijilo, The Gambia","Active","4","4","4","1","3","16","Tier-3"
"National Early Warning & Response Mechanism (NCCRM)","Emergency Services","`Early warning services","Routers and Switches","Hardware and Computing Infrastructure","for data communication","Kololi new road","Rack, power cooling systems","National Early Warning Center","National Early Warning Center","C7RM+CV15","Active","4","3","3","1","4","15","Tier-3"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","Backup Systems","Hardware and Computing Infrastructure","Systems for storing and archiving WAPIS case data and intelligence","WAPIS DACORE, JOC Building Bjilo","Servers, Storage, Power","Public","GPF Facilities Management","Bijilo, The Gambia","Active","4","4","4","2","3","17","Tier-3"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","investigators","Human","Use WAPIS intelligence and biometric data for cases","WAPIS DACORE, JOC Building Bjilo","Case Files, Intelligence Data","Public","GPF Facilities Management","Bijilo, The Gambia","Active","4","4","4","2","3","17","Tier-3"
"Ecobank ","Banking and Finance","Commercial Banking Services","Servers","Hardware and Computing Infrastructure","Store and maintain softwares","Datacenter (Kanifing, Accra and Lagos)","Server, Datacenter, Cooling, Power, Network","Ecobank","Eprocess (Ecobank) Ecobank IT Team","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"Ecobank ","Banking and Finance","Commercial Banking Services","Oracle","Software Systems","Store and maintain customer informations","Datacenter (Accra and Lagos)","Server, Datacenter, Cooling, Power, Network","Ecobank","Eprocess (Ecobank)","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"Ecobank ","Banking and Finance","Commercial Banking Services","Core Banking Application (Flexcube)","Software Systems","Store and maintain customer informations","Datacenter (Accra and Lagos)","Server, Datacenter, Cooling, Power, Network","Ecobank","Eprocess (Ecobank)","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"Ecobank ","Banking and Finance","Commercial Banking Services","Head Office and Branch","Software Systems","Store and maintain customer informations","Datacenter (Accra and Lagos)","Server, Datacenter, Cooling, Power, Network","Ecobank","Eprocess (Ecobank)","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"Ecobank ","Banking and Finance","Commercial Banking Services","Omni","Software Systems","Ecobank Online","Datacenter (Accra and Lagos)","Server, Datacenter, Cooling, Power, Network","Ecobank","Eprocess (Ecobank)","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"Ecobank ","Banking and Finance","Commercial Banking Services","Firewalls","Hardware and Computing Infrastructure","encrypts data to be transmit information from one network to another network","Datacenter (Kanifing, Accra and Lagos)","Server, Datacenter, Cooling, Power, Network","Ecobank","Eprocess (Ecobank) Ecobank IT Team","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"Ecobank ","Banking and Finance","Commercial Banking Services","Fibre Optic Internet","Software Systems","Store and maintain customer informations","Datacenter (Accra and Lagos)","Server, Datacenter, Cooling, Power, Network","Ecobank","Eprocess (Ecobank)","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"Ecobank ","Banking and Finance","Commercial Banking Services","Datacenter","Facilities","Houses the bank technical infrastructure","Datacenter (Kanifing, Accra and Lagos)","Server, Datacenter, Cooling, Power, Network","Ecobank","Eprocess (Ecobank) Ecobank IT Team","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"Ecobank ","Banking and Finance","Commercial Banking Services","Routers and Switches","Software Systems","Transmit information from one network to another network","Datacenter (Kanifing, Accra and Lagos)","Server, Datacenter, Cooling, Power, Network","Ecobank","Eprocess (Ecobank) Ecobank IT Team","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"Ecobank ","Banking and Finance","Commercial Banking Services","SWIFT","Software Systems","Its use to securely exchange information related to financial transactions, especially cross-border payments.","Datacenter (Accra and Lagos)","Server, Datacenter, Cooling, Power, Network","Ecobank","Eprocess (Ecobank)","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"PURA & GmCSIRT","Information and Communications","Awareness, Training and education","gmCSIRT Website","Networks and Communication","The gmCSIRT Website is the national CSIRT’s online portal, providing cybersecurity alerts, resources, and guidance. It also enables reporting and coordination of security incidents for organizations and the public.","Ipage cloud server","Wi-Fi,
servers","PURA","PURA","Latitude ~13.404°, Longitude ~−16.656°","Active","2","2","4","4","4","16","Tier-3"
"PURA & GmCSIRT","Information and Communications","Awareness, Training and education","Awareness Training materials","Networks and Communication","Resources such as documents, presentations, videos, and simulations used to educate staff and the public on cybersecurity best practices and threat prevention.","gmCSIRT Office, Abuko Earth Station, Abuko","Email Server","PURA","PURA","Latitude ~13.404°, Longitude ~−16.656°","Active","4","4","2","2","3","15","Tier-3"
"PURA & GmCSIRT","Information and Communications","Awareness, Training and education","CSIRT Manager","Human","The CSIRT Manager oversees the team’s operations, coordinates incident response, manages resources, and ensures effective cybersecurity threat mitigation and reporting.","gmCSIRT Office, Abuko Earth Station, Abuko","CSIRT","PURA","PURA","Latitude ~13.404°, Longitude ~−16.656°","Active","4","4","4","4","4","20","Tier-3"
"Ecobank ","Banking and Finance","ATM and card services","Postillion","Software Systems","Store and maintain customer informations","Datacenter (Accra and Lagos)","Server, Datacenter, Cooling, Power, Network","Ecobank","Eprocess (Ecobank)","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"Ecobank ","Banking and Finance","ATM and card services","Fibre Optic MPLS","Hardware and Computing Infrastructure","Store and maintain customer informations","Datacenter (Accra and Lagos)","Server, Datacenter, Cooling, Power, Network","Ecobank","Eprocess (Ecobank)","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","ICT administrators,","Human","Staff maintaining WAPIS infrastructure and security","WAPIS DACORE, JOC Building Bjilo","Servers, Routers, Databases","Public","GPF Facilities Management","Bijilo, The Gambia","Active","4","4","4","2","3","17","Tier-3"
